tk, tkSamples
0.58984375,152
1.3203125,339
2.02734375,520
2.7578125,707
3.48046875,892
4.19140625,1074
4.87890625,1250
5.5703125,1427
6.26171875,1604
6.94921875,1780
7.609375,1949
8.28125,2121
8.96484375,2296
9.671875,2477
10.39453125,2662
11.1015625,2843
11.84765625,3034
12.60546875,3228
13.38671875,3428
14.1484375,3623
14.8828125,3811
15.625,4001
16.35546875,4188
17.0703125,4371
17.74609375,4544
18.43359375,4720
19.125,4897
19.8203125,5075
20.48828125,5246
21.15625,5417
21.875,5601
22.6171875,5791
23.37890625,5986
24.10546875,6172
24.82421875,6356
25.546875,6541
26.27734375,6728
27.00390625,6914
27.70703125,7094
28.4140625,7275
29.12890625,7458
29.84375,7641
30.5625,7825
31.265625,8005
31.9609375,8183
32.6953125,8371
33.46484375,8568
34.25,8769
35.03515625,8970
35.8046875,9167
36.578125,9365
37.3359375,9559
38.0859375,9751
38.80078125,9934
39.49609375,10112
40.19921875,10292
40.921875,10477
41.65625,10665
42.41015625,10858
43.12890625,11042
43.85546875,11228
44.61328125,11422
45.359375,11613
46.1171875,11807
46.83984375,11992
47.56640625,12178
48.3046875,12367
49.046875,12557
49.796875,12749
50.54296875,12940
51.26171875,13124
51.98828125,13310
52.7109375,13495
53.43359375,13680
54.15234375,13864
54.8515625,14043
55.546875,14221
56.2578125,14403
56.984375,14589
57.71875,14777
58.453125,14965
59.171875,15149
59.9140625,15339
60.6640625,15531
61.4140625,15723
62.14453125,15910
62.8515625,16091
63.5546875,16271
64.2421875,16447
64.9296875,16623
65.58984375,16792
66.26171875,16964
66.95703125,17142
67.66796875,17324
68.38671875,17508
69.10546875,17692
69.80078125,17870
70.50390625,18050
71.203125,18229
71.9140625,18411
72.625,18593
73.30078125,18766
73.99609375,18944
74.68359375,19120
75.37890625,19298
76.0703125,19475
76.7265625,19643
77.390625,19813
78.05859375,19984
78.7265625,20155
79.421875,20333
80.1328125,20515
80.85546875,20700
81.54296875,20876
82.24609375,21056
82.9609375,21239
83.6796875,21423
84.41015625,21610
85.0859375,21783
85.75390625,21954
86.421875,22125
87.078125,22293
87.703125,22453
88.32421875,22612
88.94921875,22772
89.5625,22929
90.16796875,23084
90.765625,23237
91.3671875,23391
91.96484375,23544
92.5625,23697
93.1796875,23855
93.8046875,24015
94.44921875,24180
95.11328125,24350
95.79296875,24524
96.49609375,24704
97.2421875,24895
